,FlrOnset,Flrmaxtime,Flrendtime,FlrPeakFlux,Flareq,xrsclass,optclass,optlocation,region,radiopatrol,TypeII,TypeIIDur,TypeIV,TypeIVDur,cmepatrol,cmeonset,cmespeed,satid,FlrHpTime,FlrIntFlux,FlrIntFlux2,IntFluxQ,tmewe,emmewe,tchianti,emchianti,Association,S1,S2,S3,S4,S5,GT100,Width,sep,1MHz_fluence,1MHz_close_freq,typeIII_int,FlarePersistence
0,1986-01-15T06:48:00.000,1986-01-15T07:10:00.000,1986-01-15T09:59:00.000,1.08e-05,0.0,M1.1,1N,S09W67,4710,Yes ,1,18.0,1,2.0,No,,,G6,1986-01-15T07:27:00.000  ,0.014,0.0135,,10.6,49.3,11.8,48.8,None,,,,,,,,0,,,,3.1e-06
1,1986-01-16T16:04:00.000,1986-01-16T16:16:00.000,1986-01-16T18:13:00.000,6.35e-05,0.0,M6.4,SF,S11W85,4710,,0,-1.0,0,-1.0,No,,,G6,1986-01-16T16:25:00.000,0.0412,0.0406,,18.6,49.7,17.9,49.4,None,,,,,,,,0,,,,6e-06
2,1986-01-16T18:18:00.000,1986-01-16T18:49:00.000,1986-01-16T19:35:00.000,1.35e-05,0.0,M1.3,SN,S12W88,4710,,0,-1.0,0,-1.0,No,,,G6,1986-01-16T19:13:00.000,0.0287,0.0245,,9.52,49.4,10.9,49.0,None,,,,,,,,0,,,,6.6e-05
3,1986-02-03T20:34:00.000,1986-02-03T20:49:00.000,1986-02-04T00:08:00.000,2.33e-05,0.0,M2.3,2B,S09E26,4711,,0,-1.0,0,-1.0,No,,,G6,1986-02-03T21:10:00.000,0.0344,0.0337,,14.5,49.4,14.9,49.0,None,,,,,,,,0,,,,3e-06
4,1986-02-04T07:31:00.000,1986-02-04T07:41:00.000,1986-02-04T08:39:00.000,0.000301,0.0,X3.0,3B,S03E21,4711,Yes,0,-1.0,1,747.0,No,,,G6,1986-02-04T07:48:00.000,0.169,0.168,,22.3,50.3,20.7,50.1,Enhancement,,,,,,,,0,,,,2.3e-05
5,1986-02-04T10:17:00.000,1986-02-04T10:29:00.000,1986-02-04T11:42:00.000,6.49e-05,0.0,M6.5,SB,S02E68,S02E68,Yes,1,6.0,1,747.0,No,,,G6,1986-02-04T10:36:00.000,0.0355,0.0346,,17.7,49.7,17.3,49.5,None,,,,,,,,0,,,,0.00030000000000000003
6,1986-02-05T12:30:00.000,1986-02-05T12:55:00.000,1986-02-05T14:11:00.000,3.03e-05,0.0,M3.0,2N,S06E04,0,Yes,0,-1.0,1,44.0,No,,,G6,1986-02-05T13:08:00.000,0.0365,0.0357,,16.8,49.5,16.6,49.2,None,,,,,,,,0,,,,3.9e-06
7,1986-02-06T06:14:00.000,1986-02-06T06:25:00.000,1986-02-06T08:06:00.000,0.000179,0.0,X1.7,3B,S04W06,4711,Yes,1,16.0,1,82.0,No,,,G6,1986-02-06T06:37:00.000,0.142,0.141,,21.1,50.1,19.8,49.9,ProtonFlare,1986-02-06T08:15:00.000,,,,,1986-02-06T11:25:00.000,,1,,,,3.0000000000000004e-05
8,1986-02-07T09:13:00.000,1986-02-07T10:34:00.000,1986-02-07T19:33:00.000,5.19e-05,0.0,M5.1,2B,S10W20,4711,Yes,1,16.0,1,37.0,No,,,G6,1986-02-07T11:26:00.000,0.175,0.172,,13.1,49.8,13.8,49.4,ProtonFlare,1986-02-07T13:40:00.000,,,,,1986-02-07T14:35:00.000,,1,,,,2.2e-06
9,1986-02-10T20:15:00.000,1986-02-10T20:46:00.000,1986-02-11T00:11:00.000,9.57e-06,0.0,C9.6,SB,S01W32,4713,Yes,1,11.0,1,469.0,No,,,G6,1986-02-10T21:22:00.000,0.0262,0.0226,,12.3,49.3,13.2,48.8,Enhancement,,,,,,,,0,,,,5.2e-06
10,1986-02-11T03:28:00.000,1986-02-11T03:41:00.000,1986-02-11T05:29:00.000,1.17e-05,0.0,M1.2,1B,N00W30,4713,Yes,0,-1.0,1,469.0,No,,,G6,1986-02-11T04:13:00.000,0.0209,0.0198,,12.4,49.2,13.2,48.8,None,,,,,,,,0,,,,9.499999999999999e-06
11,1986-02-11T22:59:00.000,1986-02-11T23:25:00.000,1986-02-12T00:25:00.000,1.05e-05,0.0,M1.0,SN,N00W43,4713,Yes,1,4.0,0,-1.0,No,,,G6,1986-02-11T23:42:00.000,0.0159,0.014,,12.7,49.2,13.4,48.8,None,,,,,,,,0,,,,1.1000000000000001e-05
12,1986-02-14T08:57:00.000,1986-02-14T09:29:00.000,1986-02-14T15:39:00.000,6.46e-05,0.0,M6.5,1N,S01W76,4713,Yes,1,3.0,1,95.0,No,,,G6,1986-02-14T10:27:00.000,0.218,0.215,,16.2,49.8,16.1,49.5,ProtonFlare,1986-02-14T10:30:00.000,1986-02-14T21:10:00.000,,,,1986-02-14T11:55:00.000,,1,,,,5.0999999999999995e-06
16,1986-03-06T16:08:00.000,1986-03-06T17:03:00.000,1986-03-06T20:27:00.000,4.59e-06,0.0,C4.6,1F,N02E01,4717,,0,-1.0,0,-1.0,No,,,G6,1986-03-06T17:40:00.000,0.014,0.0124,,7.47,49.2,8.89,48.6,ProtonFlare,1986-03-06T17:40:00.000,,,,,,,1,,,,5.6e-06
17,1986-04-24T03:40:00.000,1986-04-24T03:51:00.000,1986-04-24T04:36:00.000,1.21e-05,0.0,M1.2,SB,N04E06,4726,Yes,0,-1.0,0,-1.0,No,,,G6,1986-04-24T04:01:00.000,0.00899,0.00878,,14.7,49.2,15.0,48.8,None,,,,,,,,0,,,,1.1000000000000001e-05
18,1986-04-24T06:00:00.000,1986-04-24T06:13:00.000,1986-04-24T07:40:00.000,2.45e-05,0.0,M1.6,1B,N04E04,4726,Yes,0,-1.0,0,-1.0,No,,,G6,1986-04-24T06:25:00.000,0.0162,0.0155,,11.6,49.2,12.6,48.9,None,,,,,,,,0,,,,1.2e-05
22,1986-10-18T23:51:00.000,1986-10-19T00:47:00.000,1986-10-19T04:16:00.000,4.78e-05,0.0,M4.8,2B,N21E62,4750,Yes,1,28.0,1,100.0,No,,,G6,1986-10-19T01:18:00.000,0.11,0.108,,15.9,49.7,15.9,49.3,None,,,,,,,,0,,,,2e-06
23,1986-11-01T07:42:00.000,1986-11-01T09:08:00.000,1986-11-01T10:44:00.000,2.99e-06,0.0,C3.0,1F,N00E12,4754,,0,-1.0,0,-1.0,No,,,G6,1986-11-01T09:33:00.000,0.0154,0.00974,,7.52,49.1,8.94,48.5,None,,,,,,,,0,,,,1.8e-06
24,1987-03-13T21:21:00.000,1987-03-13T21:51:00.000,1987-03-14T01:16:00.000,5.18e-06,0.0,C5.2,SB,S35E90,4779,Yes,1,27.0,1,8.0,No,,,G7,1987-03-13T22:18:00.000,0.00947,0.00931,,9.47,49.0,10.8,48.5,None,,,,,,,,0,,,,4.5e-07
25,1987-04-15T11:34:00.000,1987-04-15T12:22:00.000,1987-04-15T15:21:00.000,3.36e-06,0.0,C3.4,SB,S31W33,4787,,0,-1.0,0,-1.0,No,,,G7,1987-04-15T13:02:00.000,0.0106,0.00997,,10.4,48.7,11.6,48.3,None,,,,,,,,0,,,,6.5999999999999995e-06
26,1987-04-16T15:54:00.000,1987-04-16T16:15:00.000,1987-04-16T19:30:00.000,1e-05,16.0,M1.0,1B,S32W43,4790,Yes,0,-1.0,0,-1.0,No,,,G7,1987-04-16T16:32:00.000,0.0115,0.0109,,12.1,49.1,13.0,48.7,None,,,,,,,,0,,,,1e-05
27,1987-06-11T01:19:00.000,1987-06-11T02:42:00.000,1987-06-11T05:51:00.000,3.66e-06,0.0,C3.7,,N47E90,-1,,0,-1.0,0,-1.0,No,,,G7,1987-06-11T03:13:00.000,0.0108,0.0101,,8.2,49.1,9.63,48.5,None,,,,,,,,0,,,,0.0
28,1987-07-24T09:52:00.000,1987-07-24T10:03:00.000,1987-07-24T12:01:00.000,3e-05,0.0,M3.0,1B,S29W36,4826,Yes,0,-1.0,0,-1.0,No,,,G7,1987-07-24T10:13:00.000,0.0229,0.0222,,16.7,49.4,16.4,49.1,None,,,,,,,,0,,,,3.7e-06
30,1987-08-08T13:41:00.000,1987-08-08T13:57:00.000,1987-08-08T14:30:00.000,1.29e-05,0.0,M1.3,SN,S26W26,4835,Yes,0,-1.0,0,-1.0,No,,,G7,1987-08-08T14:06:00.000,0.0105,0.0099,,17.2,49.1,16.8,48.7,None,,,,,,,,0,,,,1.3000000000000001e-05
31,1987-08-19T09:54:00.000,1987-08-19T10:30:00.000,1987-08-19T13:03:00.000,8.71e-06,0.0,C8.7,1F,S26W48,4839,Yes,0,-1.0,0,-1.0,No,,,G7,1987-08-19T10:49:00.000,0.0148,0.0143,,10.7,49.1,11.8,48.7,None,,,,,,,,0,,,,0.0
