Start,Year,Maximum,Proton Flux,Associated CME,Flare Max.,Importance,Location,Region#,Type II,Type III,Type IV,*,,,,,,,,,,,,,,,,,,,,,
Apr 11/1135,2004,Apr 11/1845,35,SW/11 0430,Apr 11/0419,C9/1F,S14W47,588,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Jul 25/1855,2004,Jul 26/2250,2086,Halo/25 1530,Jul 25/1514,M1/1F,N08W33,652,1,1,0,2 hours later,,,,,,,,,,,,,,,,,,,,,
Sep 13/2105,2004,Sep 14/0005,273,Halo/12 0036,Sep 12/0056,M4/2N,N04E42,672,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sep 19/1925,2004,Sep 20/0100,57,W/19 2224,Sep 19/1712,M1/,N03W58,672,0,1,0,,,,,,,,,,,,,,,,,,,,,,
Nov 01/0655,2004,Nov 01/0805,63,W/01 0606,,,Backside,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
Nov 07/1910,2004,Nov 08/0115,495,Halo/07 1706,Nov 07/1606,X2 /,N09W17,696,1,0,1,check again,,,,,,,,,,,,,,,,,,,,,
Jan 16/0210,2005,Jan 17/1750,5040,Halo/15 2306,Jan 15/2302,X2/,N15W05,720,1,0,1,CTM?,,,,,,,,,,,,,,,,,,,,,
May 14/0525,2005,May 15/0240,3140,Halo/13 1722,May 13/1657,M8/2B ,N12E11,759,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Jun 16/2200,2005,Jun 17/0500,44,W/16 2003,Jun 16/2022,M4/, N09W87,775,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Jul 14/0245,2005,Jul 15/0345,134,Halo/13 1430,Jul 13/1449,M5/,N10W80,786,0,1,0,,,,,,,,,,,,,,,,,,,,,,
Jul 27/2300,2005,Jul 29/1715,41,Halo/27 0454,Jul 27/0502,M3 ,N11E90,792,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Aug 22/2040,2005,Aug 23/1045,330,Halo/22 1730,Aug 22/1727,M5/1N ,S12W60,798,0,1,1,,,,,,,,,,,,,,,,,,,,,,
Sep 08/0215,2005,Sep 11/0425,1880,E/07 1723,Sep 07/1740,X17/3B,S06E89,808,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Dec 06/1555,2006,Dec 07/1930,1980,Halo,Dec 05/1035,X9/2N,S07E79,930,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Dec 13/0310,2006,Dec 13/0925,698,Halo/13 0254,Dec 13/0240,X3/4B,S05W23,930,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Aug 14/1230,2010,Aug 14/1245,14,W/14 1325,Aug 14/1005,C4/0F,N17W52,1099,1,0,0,,,,,,,,,,,,,,,,,,,,,,
Mar 08/0105,2011,Mar 08/0800,50,NW/07 2000,Mar 07/2012,M3/SF,N24W59,1164,1,1,0,check again,,,,,,,,,,,,,,,,,,,,,
Mar 21/1950,2011,Mar 22/0135,14,NW/21 0236,,,,1169,0,1,0,,,,,,,,,,,,,,,,,,,,,,
Jun 07/0820,2011,Jun 07/1820,72,SW/08 1750,Jun 07/0803,M2/2N,S21W64,1226,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Aug 04/0635,2011,Aug 05/2150,96,NW/06 0515,Aug 04/0412,M9/2B,N15W49,1261,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Aug 09/0845,2011,Aug 09/1210,26,NW/09 1710,Aug 09/0805,X6/2B,N17W83,1263,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Sep 23/2255,2011,Sep 26/1155,35,NE/27 0430,Sep 22/1101,X1/2N,N11E74,1302,1,0,1,,,,,,,,,,,,,,,,,,,,,,
Nov 26/1125,2011,Nov 27/0125,80,NW/28 0145,Nov 26/0710,,N08W49,1353,0,1,0,,,,,,,,,,,,,,,,,,,,,,
